,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
544,qi-wireless-battery-for-x-box-one-one-s-gamepad,fr,Hardware,2017-06-27 15:42:15,1.0,france,False,0,45.980306064000004,6
551,the-polymath-pdf-magazine,us,Web,2015-03-07 14:31:33,1.0,united states,False,1,70.67567567567568,1
558,take-a-stand-the-online-event,us,Web,2015-09-11 01:26:39,1.0,united states,False,1,105.83486111111111,1
562,the-arduino-compatible-42-digit-spi-keypad-matrix,ca,DIY Electronics,2017-04-18 16:39:17,30.0,united states,False,1,30.180216907142857,0
565,sensordots-port-muxr-a-kvm-switch-but-for-electron,au,DIY Electronics,2019-03-03 06:28:29,1.0,united states,False,1,95.86546151607368,0
575,sludge-people-powered-journalism-to-follow-the-oil,us,Web,2019-03-08 17:08:36,1.0,united states,False,1,54.79209979209979,1
576,nero-an-energy-efficient-arduino-uno-compatible-de,sg,Hardware,2015-12-09 14:40:44,1.0,united states,False,1,28.508119113,0
592,six-months-a-saint,za,Web,2016-09-16 14:29:22,1.0,united states,False,0,49.59016393442623,1
595,tripwoman,de,Web,2018-03-16 14:50:23,1.0,spain,False,0,44.52066227175,1
597,bolthub-worlds-first-invisible-usb-c-hub-for-ipad,us,Gadgets,2019-05-06 13:53:42,2.0,united states,False,1,63.30113977204559,6
613,mini-i2c-oled,us,Hardware,2012-03-26 16:21:51,1.0,united states,False,1,44.715053763440864,0
629,power-all-your-tech-with-wen,hk,Gadgets,2019-04-29 12:08:46,1.0,united states,False,1,102.5730203298969,6
634,global-nation-reporting-fund,us,Web,2016-03-08 22:34:51,1.0,united states,False,1,77.29245283018868,1
636,the-new-russian-life,us,Web,2018-06-27 19:29:25,7.0,united states,False,1,89.93037974683544,1
642,showskimagcom,us,Web,2014-10-29 17:37:11,1.0,united states,False,1,98.17073170731707,1
646,updated-24-pin-basic-controller,us,DIY Electronics,2017-10-24 23:05:04,1.0,united states,False,1,48.67272727272727,0
662,voices-for-biodiversity,us,Web,2016-11-22 14:32:34,1.0,united states,False,1,165.66129032258064,1
680,mag4life-fantastic-magnetic-usb-c-and-tb3-connector,de,Hardware,2019-07-25 17:59:26,1.0,germany,False,0,40.93571152066667,6
733,hopperstand-multi-functional-bag-holder-and-utilit,us,Hardware,2018-02-02 18:28:40,1.0,united states,False,0,36.206896551724135,6
736,urmo-your-ultra-light-foldable-urban-electric-vehi,de,Hardware,2018-10-08 16:58:53,1.0,germany,False,1,1045.4414442017044,6
738,the-classical,us,Web,2011-08-15 14:35:48,1.0,united states,False,1,51.96151401869159,1
739,berashield-total-protection-system-for-smartphone,us,Gadgets,2018-11-27 06:15:59,1.0,united states,False,1,301.79375,6
775,votefortruth-create-online-movement,us,Web,2017-12-05 18:33:41,1.0,united states,False,0,112.38888888888889,1
787,firecricket-xl-bring-your-costume-props-and-toys-t,us,DIY Electronics,2018-05-03 14:34:59,14.0,united states,False,1,63.328125,0
789,mypifi-light-bar-board-for-raspberry-pi-arduino-an,gb,Hardware,2014-11-03 23:12:54,4.0,united kingdom,False,1,19.868086731325302,0
791,the-indie-gamer-magazine,us,Web,2018-06-04 21:21:36,1.0,united states,False,1,58.76,1
807,yu-the-ultimate-charging-solution-for-smartphones-and-macbook,us,Gadgets,2019-05-22 14:53:59,1.0,united states,False,1,108.14893617021276,6
818,robby-a-french-evolutive-robot-enhancing-curiosity,fr,Robots,2018-02-11 07:00:43,1.0,france,False,1,399.1639199790769,6
819,couragecable-35mm-headphone-lightning-port-for-iph,us,Hardware,2016-10-27 01:30:34,1.0,united states,False,0,100.66666666666667,6
825,joan-of-sparc-empowered-and-free-revolutionary-app,us,Apps,2018-09-27 12:01:52,1.0,united states,False,1,130.61206896551724,0
835,batteryduino-battery-shield-for-arduino,us,Hardware,2016-02-18 19:49:21,16.0,united states,False,1,65.0,0
869,lovesync-kickstart-your-love-life,us,Technology,2019-02-11 14:55:01,1.0,united states,False,1,48.86877828054298,6
874,biem-qx3-butter-sprayer,us,Gadgets,2019-06-18 10:02:55,2.0,united states,False,0,94.0909090909091,0
880,madison365,us,Web,2015-07-30 15:02:02,1.0,united states,False,1,67.14935064935065,1
881,ardiunopixed-usb-hub-and-arduino-for-pi-zero,us,Technology,2018-01-29 16:50:46,10.0,united states,False,1,41.05882352941177,0
893,tickertape-retro-display,gb,Gadgets,2019-01-03 14:34:28,1.0,united states,False,1,38.10778090962963,0
913,micro-flip-reversible-micro-usb,us,Hardware,2015-07-03 15:30:53,1.0,united states,False,1,31.410852713178294,6
920,alter-rapid-filter-system,us,Camera Equipment,2019-05-07 11:05:11,1.0,united states,False,1,106.24177631578948,6
943,wik-usb-c-adapter-to-usb-for-macbook-durable-and-p,us,Hardware,2015-07-29 23:03:38,4.0,united states,False,0,35.80952380952381,6
955,tachyon-the-lightning-fast-120mhz-arduino-compatib,us,DIY Electronics,2018-08-08 13:00:07,14.0,united states,False,1,43.620087336244545,0
957,fat-battery-4x-bigger-battery-for-your-iphone,us,Hardware,2016-04-27 14:35:25,1.0,united states,False,0,930.9375,6
960,body-pos-project,us,Web,2016-09-21 10:06:00,1.0,united states,False,1,50.19211822660098,1
967,world-first-qi-charger-sets-aquarius,hk,Hardware,2019-06-13 18:32:26,2.0,united states,False,0,70.46806692,6
