,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
2025,chuusotsu-1st-graduation-a-visual-novel-with-philo,jp,Video Games,2017-04-25 16:01:03,3.0,united states,False,1,40.92359932088285,1
2048,loop-a-tranquil-puzzle-game,gb,Video Games,2014-09-02 15:07:17,1.0,united states,False,1,7.953945774132842,1
2050,blood-sword,gb,Games,2019-02-14 08:03:47,1.0,united kingdom,False,1,46.689393712880005,6
2064,reimei-no-gakuen-modern-fantasy-otome-visual-novel,gb,Video Games,2018-08-14 15:00:02,1.0,united states,False,1,30.991075962012196,1
2073,insecta-a-transformations-deck-of-intricate-insect,gb,Playing Cards,2019-03-12 08:24:17,2.0,united states,False,1,45.646823294029225,5
2091,the-island-demo,ca,Video Games,2014-07-12 14:08:07,1.0,united states,False,1,20.92774297727273,1
2098,negligee,gb,Video Games,2017-08-03 12:17:51,14.0,united states,False,1,47.552393263241896,1
2104,seventh-circle,us,Video Games,2018-03-13 20:32:04,1.0,united states,False,1,27.924217462932454,1
2107,medusa-playing-cards-with-7-marking-systems,it,Playing Cards,2018-10-25 17:35:15,1.0,united states,False,1,53.723371116313565,5
2110,cinderella-phenomenon,gb,Video Games,2016-08-29 14:11:22,1.0,united states,False,1,29.133451398235295,1
2114,monster-menagerie-gruesome-foes,us,Tabletop Games,2019-05-01 16:03:52,6.0,united states,False,1,10.040462427745664,6
2117,perplexity-playing-cards-limited-edition,us,Playing Cards,2019-07-09 05:26:50,2.0,united states,False,0,37.2,5
2121,skelstruments-playing-cards,us,Playing Cards,2019-02-01 22:03:28,1.0,united states,False,1,53.68987341772152,5
2130,shaman-playing-cards-by-bruno-tarnecci-printed-by,us,Playing Cards,2019-03-14 16:19:21,6.0,united states,False,1,48.84722222222222,5
2154,dungeons-and-delvers-red-book,us,Tabletop Games,2019-05-15 16:59:03,3.0,united states,False,0,29.56451612903226,6
2157,bios-ex,it,Video Games,2018-04-23 12:57:24,3.0,united states,False,1,43.65099197686747,1
2176,calidar-on-wings-of-darkness,us,Tabletop Games,2018-10-02 14:00:05,4.0,united states,False,1,69.79819277108433,6
2189,gods-and-goddesses-redux,us,Tabletop Games,2019-07-01 20:42:10,4.0,united states,False,1,32.77029096477795,6
2193,the-lost-lands-grand-duchy-of-reme,us,Tabletop Games,2019-07-02 17:52:27,26.0,united states,False,1,73.85594405594405,6
2197,dcc-rpg-module-reckoning-of-the-gods-into-the-shad,us,Tabletop Games,2019-02-20 06:00:51,13.0,united states,False,1,22.37609329446064,6
2223,the-untamed-otome-adult-romance-visual-novel,us,Video Games,2019-06-20 01:57:34,2.0,united states,False,0,25.470149253731343,1
2225,jewelry-box-a-fantastic-deck-of-magnificent-beetles,ca,Playing Cards,2019-06-22 10:56:13,1.0,united states,False,0,26.386737411468,5
2229,koropokkur-in-love-a-little-fairys-tale,jp,Video Games,2018-03-13 17:03:02,1.0,united states,False,1,58.69145569620253,1
